estimate_sex_and_age_total_population,estimate_sex_and_age_total_population_male,estimate_sex_and_age_total_population_female,estimate_sex_and_age_under_5_years,estimate_sex_and_age_5_to_9_years,estimate_sex_and_age_10_to_14_years,estimate_sex_and_age_15_to_19_years,estimate_sex_and_age_20_to_24_years,estimate_sex_and_age_25_to_34_years,estimate_sex_and_age_35_to_44_years,estimate_sex_and_age_45_to_54_years,estimate_sex_and_age_55_to_59_years,estimate_sex_and_age_60_to_64_years,estimate_sex_and_age_65_to_74_years,estimate_sex_and_age_75_to_84_years,estimate_sex_and_age_85_years_and_over,estimate_sex_and_age_median_age_(years),estimate_sex_and_age_18_years_and_over,estimate_sex_and_age_21_years_and_over,estimate_sex_and_age_62_years_and_over,estimate_sex_and_age_65_years_and_over,estimate_sex_and_age_18_years_and_over,estimate_sex_and_age_18_years_and_over_male,estimate_sex_and_age_18_years_and_over_female,estimate_sex_and_age_65_years_and_over,estimate_sex_and_age_65_years_and_over_male,estimate_sex_and_age_65_years_and_over_female,estimate_race_total_population,estimate_race_total_population_one_race,estimate_race_total_population_two_or_more_races,estimate_race_one_race,estimate_race_one_race_white,estimate_race_one_race_black_or_african_american,estimate_race_one_race_american_indian_and_alaska_native,estimate_race_one_race_american_indian_and_alaska_native_cherokee_tribal_grouping,estimate_race_one_race_american_indian_and_alaska_native_chippewa_tribal_grouping,estimate_race_one_race_american_indian_and_alaska_native_navajo_tribal_grouping,estimate_race_one_race_american_indian_and_alaska_native_sioux_tribal_grouping,estimate_race_one_race_asian,estimate_race_one_race_asian_asian_indian,estimate_race_one_race_asian_chinese,estimate_race_one_race_asian_filipino,estimate_race_one_race_asian_japanese,estimate_race_one_race_asian_korean,estimate_race_one_race_asian_vietnamese,estimate_race_one_race_asian_other_asian,estimate_race_one_race_native_hawaiian_and_other_pacific_islander,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_native_hawaiian,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_guamanian_or_chamorro,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_samoan,estimate_race_one_race_native_hawaiian_and_other_pacific_islander_other_pacific_islander,estimate_race_one_race_some_other_race,estimate_race_two_or_more_races,estimate_race_two_or_more_races_white_and_black_or_african_american,estimate_race_two_or_more_races_white_and_american_indian_and_alaska_native,estimate_race_two_or_more_races_white_and_asian,estimate_race_two_or_more_races_black_or_african_american_and_american_indian_and_alaska_native,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_white,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_black_or_african_american,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_american_indian_and_alaska_native,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_asian,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_native_hawaiian_and_other_pacific_islander,estimate_race_race_alone_or_in_combination_with_one_or_more_other_races_total_population_some_other_race,estimate_hispanic_or_latino_and_race_total_population,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race),estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_mexican,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_puerto_rican,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_cuban,estimate_hispanic_or_latino_and_race_total_population_hispanic_or_latino_(of_any_race)_other_hispanic_or_latino,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_white_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_black_or_african_american_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_american_indian_and_alaska_native_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_asian_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_native_hawaiian_and_other_pacific_islander_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_some_other_race_alone,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_two_or_more_races,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_two_or_more_races_two_races_including_some_other_race,estimate_hispanic_or_latino_and_race_total_population_not_hispanic_or_latino_two_or_more_races_two_races_excluding_some_other_race_and_three_or_more_races,estimate_total_housing_units,estimate_citizen_voting_age_population_citizen_18_and_over_population,estimate_citizen_voting_age_population_citizen_18_and_over_population_male,estimate_citizen_voting_age_population_citizen_18_and_over_population_female,geography,geographic_area_name,Year,fips
185006,89857,95149,13017,13047,11262,12417,11663,24513,24041,21967,11823,12214,17256,8203,3583,37.3,140584,132389,35832,29042,140584,67210,73374,29042,12642,16400,185006,179337,5669,179337,135178,33901,618,N,N,N,N,7607,5032,444,321,226,303,198,1083,0,N,N,N,N,2033,5669,3217,156,945,0,185006,140235,38250,1454,9026,N,3140,185006,8735,5389,776,0,2570,176271,129577,33722,618,7607,0,393,4354,128,4226,83501,135152,64137,71015,0500000US17143,"Peoria County, Illinois",2016,17143
144784,70339,74445,9097,9003,9365,8691,8604,19563,17353,16705,10180,9668,14248,8570,3737,39.0,112575,106873,32291,26555,112575,54691,57884,26555,11580,14975,144784,137916,6868,137916,116660,13890,778,N,N,N,N,3486,N,N,N,N,N,N,N,283,N,N,N,N,2819,6868,2656,305,539,0,144784,122982,17616,1961,4312,452,5248,144784,18334,14556,3023,27,728,126450,105019,13038,482,3486,283,124,4018,0,4018,65887,106992,51664,55328,0500000US17161,"Rock Island County, Illinois",2016,17161
262759,126820,135939,16800,17984,17183,15895,16909,34867,32710,35843,19080,16966,21942,10525,6055,38.7,200290,191372,48453,38522,200290,94774,105516,38522,16436,22086,262759,255628,7131,255628,168589,77768,712,N,N,N,N,4473,488,704,865,249,372,482,1313,78,N,N,N,N,4008,7131,4142,1109,642,0,262759,175366,82851,2221,5428,N,4565,262759,10429,7975,740,72,1642,252330,163150,77583,641,4473,78,241,6164,77,6087,119209,196191,93025,103166,0500000US17163,"St. Clair County, Illinois",2016,17163
197499,95069,102430,11261,13618,11999,12515,12245,24302,24821,26185,14883,12755,19171,8917,4827,40.0,152724,146074,40456,32915,152724,71923,80801,32915,13896,19019,197499,192944,4555,192944,162397,25993,143,N,N,N,N,3568,977,337,1087,143,770,0,254,124,N,N,N,N,719,4555,1489,822,1225,226,197499,166084,28308,1602,5215,171,956,197499,4419,N,N,N,N,193080,159476,25756,108,3533,60,317,3830,0,3830,90975,150124,70606,79518,0500000US17167,"Sangamon County, Illinois",2016,17167
134385,66304,68081,7648,8894,8305,8260,6724,16661,17430,17523,9749,9039,13365,6469,4318,41.2,104078,100395,29144,24152,104078,50852,53226,24152,10596,13556,134385,132557,1828,132557,128580,1854,311,N,N,N,N,1408,N,N,N,N,N,N,N,103,N,N,N,N,301,1828,N,N,N,N,134385,130324,2680,815,1543,N,736,134385,3098,N,N,N,N,131287,126461,1854,311,1408,45,29,1179,71,1108,58755,102981,50067,52914,0500000US17179,"Tazewell County, Illinois",2016,17179
78111,39079,39032,5125,5008,5235,5087,4825,9181,9012,9765,5899,4594,8041,4437,1902,40.5,59486,56524,17332,14380,59486,29437,30049,14380,6524,7856,78111,76683,1428,76683,63731,10778,13,N,N,N,N,860,N,N,N,N,N,N,N,16,N,N,N,N,1285,1428,N,N,N,N,78111,65090,11991,285,904,N,1316,78111,3877,N,N,N,N,74234,61349,10599,13,860,16,0,1397,0,1397,35893,58762,28996,29766,0500000US17183,"Vermilion County, Illinois",2016,17183
689529,342171,347358,40824,47544,54711,52877,46021,78927,95608,106036,45861,37752,51293,23905,8170,37.9,512171,483230,106207,83368,512171,251610,260561,83368,36932,46436,689529,670265,19264,670265,505732,76425,2016,N,N,N,N,38308,17285,4385,7382,265,1285,1982,5724,515,N,N,N,N,47269,19264,7063,1733,4727,582,689529,522550,86595,5151,44326,1028,50397,689529,117562,99056,8385,360,9761,571967,442182,75070,544,37895,414,873,14989,318,14671,241817,476998,233919,243079,0500000US17197,"Will County, Illinois",2016,17197
67560,34537,33023,4512,2887,4873,3867,3906,8823,8772,8426,4336,4866,7263,3486,1543,41.3,52473,50434,15337,12292,52473,26366,26107,12292,5379,6913,67560,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,67560,63702,4027,612,654,N,408,67560,1757,N,N,N,N,65803,60709,3120,79,553,0,38,1304,0,1304,30919,52308,26258,26050,0500000US17199,"Williamson County, Illinois",2016,17199
285873,139747,146126,17528,18683,18868,18526,17533,35354,34556,38259,18741,20349,27727,13787,5962,39.8,218708,208511,58851,47476,218708,104923,113785,47476,20868,26608,285873,275585,10288,275585,226518,35905,217,N,N,N,N,7285,1686,1058,934,311,270,103,2923,140,N,N,N,N,5520,10288,4330,1188,1601,107,285873,235815,41667,2549,9514,1335,6318,285873,35691,28421,3198,1105,2967,250182,199193,34679,217,7155,0,644,8294,0,8294,125357,208387,100397,107990,0500000US17201,"Winnebago County, Illinois",2016,17201
370404,180930,189474,26366,26549,27047,25545,25036,50488,45503,46734,22730,23583,30059,14008,6756,35.8,274040,259873,63922,50823,274040,131873,142167,50823,22187,28636,370404,358618,11786,358618,296773,42515,461,N,N,N,N,14669,767,689,835,19,1515,1477,9367,102,N,N,N,N,4098,11786,6035,1903,1180,42,370404,308275,49874,3661,16063,N,4874,370404,27196,18441,1912,581,6262,343208,274995,41946,227,14669,55,317,10999,170,10829,156232,262155,125391,136764,0500000US18003,"Allen County, Indiana",2016,18003
81402,41383,40019,5619,5902,4947,4903,5576,11285,10091,10340,5357,4856,7234,3831,1461,37.5,61921,59051,15513,12526,61921,30706,31215,12526,5459,7067,81402,79700,1702,79700,68773,1234,38,N,N,N,N,5864,3431,1041,0,574,0,0,818,0,N,N,N,N,3791,1702,N,N,N,N,81402,70079,2248,411,6043,N,4220,81402,5329,N,N,N,N,76073,66742,1234,38,5864,0,807,1388,252,1136,33880,55277,26784,28493,0500000US18005,"Bartholomew County, Indiana",2016,18005
116031,56178,59853,7088,8127,7153,6736,7216,16291,15221,15522,7052,8308,10728,4403,2186,38.7,89295,85228,22016,17317,89295,42629,46666,17317,7523,9794,116031,110434,5597,110434,102109,6608,79,N,N,N,N,457,N,N,N,N,N,N,N,0,N,N,N,N,1181,5597,3431,559,1099,0,116031,107706,10039,638,1556,N,1181,116031,6121,N,N,N,N,109910,97169,6608,79,457,0,0,5597,0,5597,49765,87449,41855,45594,0500000US18019,"Clark County, Indiana",2016,18019
115603,56422,59181,5917,5178,6016,10417,17394,12736,11217,13798,6562,7280,10942,5732,2414,35.4,94428,84040,23645,19088,94428,45346,49082,19088,8366,10722,115603,113264,2339,113264,101294,8952,226,N,N,N,N,1473,N,N,N,N,N,N,N,340,N,N,N,N,979,2339,1316,266,523,0,115603,103633,10268,492,1996,N,1213,115603,2644,N,N,N,N,112959,100401,8400,194,1473,163,227,2101,27,2074,52426,92534,43882,48652,0500000US18035,"Delaware County, Indiana",2016,18035
203781,100665,103116,15459,15148,16195,14687,12394,25530,26678,24757,12498,12025,16185,7326,4899,36.2,147283,139562,34626,28410,147283,72092,75191,28410,12369,16041,203781,199068,4713,199068,180922,11251,1040,N,N,N,N,2149,N,N,N,N,N,N,N,360,N,N,N,N,3346,4713,3129,411,426,44,203781,185532,14424,1495,2845,630,3779,203781,31487,27075,353,119,3940,172294,152901,11251,819,2149,230,777,4167,94,4073,78179,135512,65609,69903,0500000US18039,"Elkhart County, Indiana",2016,18039
76990,37782,39208,4398,4777,4916,4972,5104,9641,9353,10849,5893,5022,7238,3283,1544,40.4,59905,57075,14593,12065,59905,29271,30634,12065,5367,6698,76990,75049,1941,75049,69860,3954,183,N,N,N,N,800,N,N,N,N,N,N,N,0,N,N,N,N,252,1941,1139,281,326,0,76990,71801,5093,464,1126,N,N,76990,2418,N,N,N,N,74572,67809,3954,183,800,0,46,1780,0,1780,32539,58684,28363,30321,0500000US18043,"Floyd County, Indiana",2016,18043
66937,32352,34585,3563,4296,3725,5017,6148,6788,7001,8676,5045,4161,7172,3923,1422,39.9,53013,48883,14996,12517,53013,24859,28154,12517,5403,7114,66937,65085,1852,65085,58979,4960,240,N,N,N,N,261,N,N,N,N,N,N,N,0,N,N,N,N,645,1852,N,N,N,N,66937,60831,6199,478,543,N,811,66937,2831,N,N,N,N,64106,57006,4960,240,261,0,0,1639,8,1631,30287,52638,24753,27885,0500000US18053,"Grant County, Indiana",2016,18053
316373,153095,163278,21762,23518,27142,22114,15523,38927,46968,48378,19092,16235,22376,9564,4774,36.9,228476,219206,44692,36714,228476,110082,118394,36714,16704,20010,316373,308323,8050,308323,276282,11797,322,N,N,N,N,17484,7199,5018,1061,307,2362,179,1358,0,N,N,N,N,2438,8050,3181,411,3202,44,316373,283579,15372,988,21733,N,2917,316373,12437,7306,794,1464,2873,303936,265983,11637,269,17484,0,720,7843,361,7482,123948,218671,105628,113043,0500000US18057,"Hamilton County, Indiana",2016,18057
73717,36577,37140,4004,5247,4822,4351,5192,8491,9329,10984,4743,5100,6945,3317,1192,39.9,56315,54133,14670,11454,56315,27460,28855,11454,5173,6281,73717,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,73717,72170,533,N,N,N,N,73717,1660,N,N,N,N,72057,N,N,N,N,N,N,N,N,N,29547,55649,27082,28567,0500000US18059,"Hancock County, Indiana",2016,18059
160610,79683,80927,10080,10424,12244,11433,9708,21314,21896,22833,11627,8411,12323,5684,2633,36.8,119628,114014,25326,20640,119628,59402,60226,20640,9209,11431,160610,158887,1723,158887,139891,13279,429,N,N,N,N,4479,N,N,N,N,N,N,N,0,N,N,N,N,809,1723,N,N,N,N,160610,141288,14263,1196,4979,N,1055,160610,6043,N,N,N,N,154567,136891,10970,429,4479,0,282,1516,246,1270,60275,116450,57868,58582,0500000US18063,"Hendricks County, Indiana",2016,18063
82568,40320,42248,4426,4592,6120,5316,4843,9748,8961,11586,5972,5225,9195,3812,2772,41.4,63755,60704,18974,15779,63755,30511,33244,15779,6725,9054,82568,81427,1141,81427,72022,7651,308,N,N,N,N,271,N,N,N,N,N,N,N,77,N,N,N,N,1098,1141,N,N,N,N,82568,73103,8551,448,271,178,1158,82568,2708,N,N,N,N,79860,70676,7651,122,271,59,0,1081,0,1081,39100,63404,30290,33114,0500000US18067,"Howard County, Indiana",2016,18067
151982,73792,78190,10376,12929,8811,10239,9527,19446,20915,20283,8791,8987,12875,7173,1630,37.5,113379,107694,26676,21678,113379,55099,58280,21678,9311,12367,151982,150757,1225,150757,138849,3880,416,N,N,N,N,5233,2219,492,0,930,30,1402,160,41,N,N,N,N,2338,1225,N,N,N,N,151982,140074,4049,566,5372,N,3105,151982,5323,N,N,N,N,146659,136709,3880,343,5233,0,36,458,0,458,59835,109161,52919,56242,0500000US18081,"Johnson County, Indiana",2016,18081
79092,39019,40073,5068,5130,5617,5256,5138,10222,8873,10399,5517,5254,7257,3765,1596,38.7,59933,56790,16150,12618,59933,29448,30485,12618,5630,6988,79092,78052,1040,78052,75552,958,465,N,N,N,N,407,N,N,N,N,N,N,N,0,N,N,N,N,670,1040,169,368,345,0,79092,76592,1161,867,752,N,670,79092,6254,N,N,N,N,72838,69874,958,465,407,0,94,1040,0,1040,37908,58137,28340,29797,0500000US18085,"Kosciusko County, Indiana",2016,18085
485846,234662,251184,30066,33642,31348,33168,31176,59855,61557,62987,36781,30368,42815,22190,9893,38.6,369272,351898,92419,74898,369272,175313,193959,74898,31982,42916,485846,472357,13489,472357,299056,117223,1531,N,N,N,N,6144,2335,384,1173,427,325,840,660,95,N,N,N,N,48308,13489,3758,1347,2715,195,485846,312047,121643,3173,8948,293,53484,485846,90882,72058,12844,685,5295,394964,263201,116213,1043,6025,0,897,7585,323,7262,211477,356809,169528,187281,0500000US18089,"Lake County, Indiana",2016,18089
110015,57378,52637,6317,6341,7639,6118,6986,13822,14283,14789,8427,7088,10874,5767,1564,40.8,86042,82620,22854,18205,86042,44412,41630,18205,7974,10231,110015,106994,3021,106994,91255,11928,610,N,N,N,N,889,N,N,N,N,N,N,N,63,N,N,N,N,2249,3021,1804,316,120,0,110015,93832,14176,926,1009,N,3030,110015,7100,N,N,N,N,102915,87540,11699,554,798,0,0,2324,116,2208,48829,84735,43643,41092,0500000US18091,"LaPorte County, Indiana",2016,18091
129296,63677,65619,7314,7437,8401,8924,7372,16720,15154,18165,8060,8863,13215,6985,2686,40.4,100978,95846,28275,22886,100978,48903,52075,22886,9867,13019,129296,124590,4706,124590,113364,9062,431,N,N,N,N,554,N,N,N,N,N,N,N,0,N,N,N,N,1179,4706,3085,339,462,24,129296,117945,12480,845,1305,N,1638,129296,5166,N,N,N,N,124130,109859,9020,399,554,0,177,4121,34,4087,58715,99357,48000,51357,0500000US18095,"Madison County, Indiana",2016,18095
941229,453482,487747,70050,67486,60817,58035,67266,157064,119872,116438,60510,52955,65037,32165,13534,34.3,706516,671901,145356,110736,706516,333394,373122,110736,45834,64902,941229,908264,32965,908264,577828,260219,2924,N,N,N,N,27885,5842,4611,2705,257,944,1260,12266,295,N,N,N,N,39113,32965,17987,3094,4391,1496,941229,606399,283092,9060,33391,960,43040,941229,95677,67521,5146,1432,21578,845552,528043,257455,2005,27606,270,2594,27579,670,26909,420900,652300,303698,348602,0500000US18097,"Marion County, Indiana",2016,18097
145496,72895,72601,6369,6125,6304,16614,28055,21250,14039,13715,7468,8308,9768,5339,2142,28.5,122620,102925,22257,17249,122620,60719,61901,17249,7545,9704,145496,140114,5382,140114,125427,4068,310,N,N,N,N,9461,1689,4458,445,144,1737,277,711,0,N,N,N,N,848,5382,1969,564,1823,0,145496,130600,6596,1508,11537,N,1070,145496,4981,3013,260,31,1677,140515,121535,4068,310,9461,0,340,4801,89,4712,60803,115306,56605,58701,0500000US18105,"Monroe County, Indiana",2016,18105
69698,34325,35373,3633,4115,4727,4658,4238,7529,8188,10874,5277,5359,6857,3045,1198,42.3,54211,51927,13740,11100,54211,26400,27811,11100,5137,5963,69698,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,69698,68500,N,N,926,N,N,69698,1079,N,N,N,N,68619,N,N,N,N,N,N,N,N,N,28081,54197,26400,27797,0500000US18109,"Morgan County, Indiana",2016,18109
167791,82455,85336,9067,11112,10388,11765,11379,19943,22057,22413,10897,12330,16132,7576,2732,39.1,130019,122872,33618,26440,130019,63232,66787,26440,11823,14617,167791,162711,5080,162711,153318,5280,224,N,N,N,N,2055,N,N,N,N,N,N,N,129,N,N,N,N,1705,5080,2517,781,870,0,167791,158256,7939,1005,2997,N,2617,167791,16499,10811,4430,39,1219,151292,140211,5071,196,2055,74,0,3685,155,3530,67861,127250,61856,65394,0500000US18127,"Porter County, Indiana",2016,18127
269141,130979,138162,17574,16466,19356,21001,20693,33740,32948,32726,16334,18519,22546,10026,7212,36.5,204804,188429,51302,39784,204804,97805,106999,39784,17223,22561,269141,262109,7032,262109,209203,35405,1880,N,N,N,N,6408,3178,1342,697,294,369,291,237,190,N,N,N,N,9023,7032,4463,873,681,0,269141,216006,40086,2806,7570,N,9504,269141,23055,20128,688,496,1743,246086,196639,34890,1028,6382,190,627,6330,0,6330,115986,195487,93271,102216,0500000US18141,"St. Joseph County, Indiana",2016,18141
188059,96352,91707,11947,12224,9377,17874,33314,25975,19663,18974,9837,8834,11611,5534,2895,28.2,148942,129856,25217,20040,148942,75845,73097,20040,8553,11487,188059,184396,3663,184396,152857,9666,268,N,N,N,N,15385,2049,9527,327,210,2427,72,773,200,N,N,N,N,6020,3663,1343,675,937,0,188059,156459,11157,1091,16461,N,6502,188059,15460,11646,881,0,2933,172599,143522,9666,222,15353,200,328,3308,167,3141,75119,133967,67163,66804,0500000US18157,"Tippecanoe County, Indiana",2016,18157
181721,88429,93292,10800,11127,11195,12125,12743,26306,20607,22615,12682,12631,15964,8330,4596,37.7,142045,133941,36122,28890,142045,67428,74617,28890,12144,16746,181721,176349,5372,176349,155227,15804,310,N,N,N,N,1990,N,N,N,N,N,N,N,1210,N,N,N,N,1808,5372,3083,577,1035,192,181721,160316,19256,1118,3150,1322,2056,181721,4721,N,N,N,N,177000,152424,15581,310,1990,1173,398,5124,0,5124,83708,139874,66301,73573,0500000US18163,"Vanderburgh County, Indiana",2016,18163
107931,54647,53284,6202,7135,5545,7863,11980,14092,12676,12503,6583,6403,9970,4811,2168,35.7,85514,78272,20778,16949,85514,43049,42465,16949,7303,9646,107931,104033,3898,104033,94021,6808,427,N,N,N,N,2044,N,N,N,N,N,N,N,47,N,N,N,N,686,3898,1275,829,535,70,107931,97490,8868,1915,2716,N,1252,107931,2810,N,N,N,N,105121,92481,6808,427,2002,47,79,3277,118,3159,46750,83223,41923,41300,0500000US18167,"Vigo County, Indiana",2016,18167
66568,31948,34620,3890,4561,3526,4439,4202,7941,7539,8652,4719,4508,6913,3826,1852,40.4,51974,49504,15586,12591,51974,24717,27257,12591,5153,7438,66568,64650,1918,64650,59648,3125,24,N,N,N,N,718,N,N,N,N,N,N,N,0,N,N,N,N,1135,1918,N,N,N,N,66568,61566,4845,194,789,N,1135,66568,1869,N,N,N,N,64699,58966,3081,0,718,0,16,1918,0,1918,31172,51315,24371,26944,0500000US18177,"Wayne County, Indiana",2016,18177
132904,66262,66642,8317,9200,6856,9143,15668,16834,14500,14677,8798,8201,11199,5801,3710,35.2,104450,95828,25880,20710,104450,50873,53577,20710,9282,11428,132904,131095,1809,131095,113334,12012,802,N,N,N,N,3374,N,N,N,N,N,N,N,719,N,N,N,N,854,1809,1304,213,153,0,132904,115143,13406,1105,3527,N,903,132904,5698,N,N,N,N,127206,108959,12012,364,3374,719,47,1731,0,1731,57308,99668,47924,51744,0500000US19013,"Black Hawk County, Iowa",2016,19013
84516,41755,42761,6558,7559,6333,4741,4434,12421,13100,11063,4104,4341,5670,3020,1172,35.2,60744,58489,12572,9862,60744,29676,31068,9862,4315,5547,84516,81975,2541,81975,76654,1003,102,N,N,N,N,3579,N,N,N,N,N,N,N,0,N,N,N,N,637,2541,831,241,714,197,84516,78998,2432,548,4293,N,1117,84516,5099,N,N,N,N,79417,72672,1003,102,3579,0,0,2061,0,2061,34532,57458,27720,29738,0500000US19049,"Dallas County, Iowa",2016,19049
97003,47974,49029,6185,6215,5953,7440,6195,12406,10582,12250,6788,6485,8815,5333,2356,38.0,74834,69704,20309,16504,74834,36515,38319,16504,7275,9229,97003,95865,1138,95865,90491,3496,74,N,N,N,N,1198,N,N,N,N,N,N,N,302,N,N,N,N,304,1138,N,N,N,N,97003,91561,4152,N,1557,N,372,97003,2272,N,N,N,N,94731,88410,3496,74,1198,302,181,1070,0,1070,40876,73816,36026,37790,0500000US19061,"Dubuque County, Iowa",2016,19061
146547,72310,74237,8634,8007,8367,14327,20374,24800,17273,14667,8730,6100,9190,3521,2557,30.0,117034,102661,19750,15268,117034,57329,59705,15268,6727,8541,146547,143956,2591,143956,119612,10314,0,N,N,N,N,10102,1825,4275,631,69,1039,299,1964,0,N,N,N,N,3928,2591,556,480,958,204,146547,121788,11140,750,11337,N,4215,146547,8108,4955,165,247,2741,138439,115995,10125,0,10102,0,0,2217,143,2074,61796,106534,52015,54519,0500000US19103,"Johnson County, Iowa",2016,19103
221661,109457,112204,14463,14673,14335,14223,14455,30656,28342,29242,14545,13691,18423,9845,4768,37.6,169283,161753,40507,33036,169283,82911,86372,33036,14614,18422,221661,216733,4928,216733,198263,12247,239,N,N,N,N,5323,1729,1579,46,22,658,285,1004,132,N,N,N,N,529,4928,2515,915,1088,40,221661,202952,14993,1251,6590,254,720,221661,7014,5105,307,0,1602,214647,192234,11874,239,5323,132,125,4720,157,4563,96287,165104,80822,84282,0500000US19113,"Linn County, Iowa",2016,19113
474045,233139,240906,34791,33646,32065,31186,29317,73770,64040,61029,27365,28671,34611,15954,7600,35.3,354799,336188,74600,58165,354799,172797,182002,58165,25266,32899,474045,460972,13073,460972,396575,31968,1315,N,N,N,N,22224,4569,2253,1393,609,550,1894,10956,150,N,N,N,N,8740,13073,7195,1767,2080,272,474045,408424,40722,3987,24681,254,9604,474045,38925,28111,1927,324,8563,435120,370776,30509,902,22224,150,311,10248,0,10248,196679,334329,161065,173264,0500000US19153,"Polk County, Iowa",2016,19153
93582,46344,47238,5569,5938,6645,6234,6504,10930,10841,12448,7243,5795,8886,4327,2222,39.1,71847,68211,18979,15435,71847,35345,36502,15435,6820,8615,93582,92743,839,92743,88124,1824,630,N,N,N,N,821,N,N,N,N,N,N,N,0,N,N,N,N,1344,839,N,N,N,N,93582,88963,2319,840,1018,N,1344,93582,7063,N,N,N,N,86519,82406,1824,630,808,0,12,839,0,839,39631,70464,34375,36089,0500000US19155,"Pottawattamie County, Iowa",2016,19155
172474,84922,87552,11077,11647,12223,10996,10074,22793,22697,21743,11787,11092,15216,7749,3380,37.9,131007,124536,33496,26345,131007,63525,67482,26345,11808,14537,172474,169659,2815,169659,147577,14802,554,N,N,N,N,4441,1094,729,118,65,180,1542,713,0,N,N,N,N,2285,2815,1015,529,731,8,172474,150109,15825,1091,5447,N,2817,172474,11320,9148,733,0,1439,161154,137518,14763,554,4441,0,1358,2520,293,2227,73656,127030,61397,65633,0500000US19163,"Scott County, Iowa",2016,19163
97090,49721,47369,4414,3919,4347,12756,20006,13347,8819,9395,5146,3815,6109,3194,1823,26.9,81542,63917,13322,11126,81542,41568,39974,11126,4989,6137,97090,94548,2542,94548,84190,1423,178,N,N,N,N,8417,2901,3898,41,131,1261,0,185,0,N,N,N,N,340,2542,1778,233,300,0,97090,86732,3386,596,8717,N,386,97090,3190,1372,523,0,1295,93900,81467,1342,178,8417,0,0,2496,0,2496,39130,73774,37100,36674,0500000US19169,"Story County, Iowa",2016,19169
102779,51248,51531,7630,7008,7912,7398,7456,13844,12292,11951,6155,5933,8888,4790,1522,35.1,75581,71020,19441,15200,75581,36788,38793,15200,6481,8719,102779,98682,4097,98682,87253,3720,723,N,N,N,N,3154,N,N,N,N,N,N,N,749,N,N,N,N,3083,4097,1108,1948,61,0,102779,91170,5174,2812,3522,956,3549,102779,16435,12967,483,166,2819,86344,76115,2763,674,3154,554,19,3065,0,3065,41982,72487,35308,37179,0500000US19193,"Woodbury County, Iowa",2016,19193
67025,33810,33215,3982,4357,5218,5255,4125,7864,8517,8903,5208,3933,5404,2869,1390,38.4,50066,47191,11900,9663,50066,25268,24798,9663,4362,5301,67025,65413,1612,65413,62612,1679,704,N,N,N,N,269,N,N,N,N,N,N,N,80,N,N,N,N,69,1612,N,N,N,N,67025,64224,1816,1376,617,N,N,67025,3140,N,N,N,N,63885,59775,1579,694,269,80,0,1488,0,1488,26564,49422,24934,24488,0500000US20015,"Butler County, Kansas",2016,20015
119440,59518,59922,6633,5689,5735,14354,17848,17889,13248,12339,6218,6113,8246,3517,1611,30.0,97536,80886,17605,13374,97536,48224,49312,13374,6033,7341,119440,113795,5645,113795,97894,4866,1800,N,N,N,N,6249,1581,1720,330,0,445,1460,713,26,N,N,N,N,2960,5645,2048,2201,647,40,119440,103080,7073,4443,7233,N,3281,119440,7278,N,N,N,N,112162,93999,4819,1685,6146,26,221,5266,38,5228,49287,92297,45653,46644,0500000US20045,"Douglas County, Kansas",2016,20045
